"word" "freq"
"price" "price" 20
"seen" "seen" 20
"share" "share" 20
"sold" "sold" 20
"spill" "spill" 20
"stuff" "stuff" 20
"wouldnt" "wouldnt" 20
"believe" "believe" 19
"card" "card" 19
"case" "case" 19
"coffeeshop" "coffeeshop" 19
"completely" "completely" 19
"couldnt" "couldnt" 19
"crazy" "crazy" 19
"decaf" "decaf" 19
"double" "double" 19
"experience" "experience" 19
"feels" "feels" 19
"filled" "filled" 19
"fine" "fine" 19
"group" "group" 19
"hello" "hello" 19
"jesus" "jesus" 19
"kitchen" "kitchen" 19
"lovely" "lovely" 19
"mood" "mood" 19
"online" "online" 19
"plan" "plan" 19
"power" "power" 19
"semester" "semester" 19
"single" "single" 19
"sleepy" "sleepy" 19
"street" "street" 19
"visit" "visit" 19
"years" "years" 19
"asleep" "asleep" 18
"bread" "bread" 18
"conversation" "conversation" 18
"course" "course" 18
"dash" "dash" 18
"easy" "easy" 18
"fall" "fall" 18
"ground" "ground" 18
"heard" "heard" 18
"hell" "hell" 18
"huge" "huge" 18
"keurig" "keurig" 18
"means" "means" 18
"mocha" "mocha" 18
"near" "near" 18
"park" "park" 18
"plus" "plus" 18
"problem" "problem" 18
"seeing" "seeing" 18
"self" "self" 18
"sick" "sick" 18
"side" "side" 18
"smells" "smells" 18
"snow" "snow" 18
"story" "story" 18
"thoughts" "thoughts" 18
"travel" "travel" 18
"tweet" "tweet" 18
"waking" "waking" 18
"weed" "weed" 18
"wonderful" "wonderful" 18
"works" "works" 18
"anxiety" "anxiety" 17
"bitch" "bitch" 17
"chance" "chance" 17
"cinnamon" "cinnamon" 17
"dead" "dead" 17
"design" "design" 17
"discuss" "discuss" 17
"enjoyed" "enjoyed" 17
"finished" "finished" 17
"flavor" "flavor" 17
"girls" "girls" 17
"glad" "glad" 17
"idk" "idk" 17
"keeps" "keeps" 17
"knows" "knows" 17
"liked" "liked" 17
"listening" "listening" 17
"matter" "matter" 17
"pack" "pack" 17
"photo" "photo" 17
"rainy" "rainy" 17
"review" "review" 17
"service" "service" 17
"shopping" "shopping" 17
"spend" "spend" 17
"tag" "tag" 17
"tonight" "tonight" 17
