"word" "freq"
"definitely" 29
"event" 29
"fire" 29
"forget" 29
"frame" 29
"home" 29
"instead" 29
"mouses" 29
"protection" 29
"records" 29
"release" 29
"slender" 29
"story" 29
"style" 29
"walking" 29
"acoustic" 28
"boobs" 28
"bop" 28
"catfish" 28
"dude" 28
"gif" 28
"global" 28
"gone" 28
"honestly" 28
"makeavoice" 28
"original" 28
"perrynowplaying" 28
"place" 28
"promo" 28
"team" 28
"arizona" 27
"billboard" 27
"boob" 27
"chris" 27
"cry" 27
"derulo" 27
"far" 27
"favourite" 27
"grace" 27
"guess" 27
"happened" 27
"kate" 27
"lipa" 27
"lovers" 27
"may" 27
"pink" 27
"rainbow" 27
"saya" 27
"sign" 27
"sold" 27
"wearing" 27
"admitted" 26
"beat" 26
"behind" 26
"biggest" 26
"bit" 26
"bloom" 26
"dating" 26
"eminem" 26
"enjoy" 26
"forgot" 26
"hand" 26
"huge" 26
"keith" 26
"knows" 26
"least" 26
"lorde" 26
"ludacris" 26
"microphone" 26
"perrychristina" 26
"phoenix" 26
"published" 26
"rather" 26
"rhythmkaty" 26
"ride" 26
"roarkaty" 26
"sam" 26
"showed" 26
"unconditionallykaty" 26
"watched" 26
"worst" 26
"arent" 25
"bff" 25
"bikeshare" 25
"cardi" 25
"catinspired" 25
"debut" 25
"disco" 25
"either" 25
"entire" 25
"fight" 25
"future" 25
"itunes" 25
"john" 25
"justjared" 25
"legendary" 25
"likes" 25
"mariah" 25
"marleytopindonesian" 25
"performing" 25
"perrysave" 25
"perrythinking" 25
"popular" 25
"save" 25
"secret" 25
"space" 25
"tho" 25
"took" 25
"trash" 25
"understand" 25
"woe" 25
"words" 25
"aint" 24
"app" 24
"bears" 24
"champion" 24
"collab" 24
"dreamkaty" 24
"echo" 24
"energy" 24
"excited" 24
"hell" 24
"jdark" 24
"kids" 24
"leave" 24
"mocks" 24
"nod" 24
"nodding" 24
"shade" 24
"smith" 24
"stans" 24
"strong" 24
"suka" 24
"thinks" 24
"waiting" 24
"antonio" 23
"anymore" 23
"avideoayuchained" 23
"azalea" 23
"break" 23
"channel" 23
"coldplay" 23
"collections" 23
"comeback" 23
"complete" 23
"concerts" 23
"dead" 23
"denying" 23
"ellen" 23
"faces" 23
"fine" 23
"grammy" 23
"grow" 23
"harmony" 23
"honor" 23
"impact" 23
"industry" 23
"judge" 23
"kind" 23
"movies" 23
"overmillion" 23
"pay" 23
"presenting" 23
"production" 23
"revealed" 23
"selling" 23
"sings" 23
"timbaland" 23
"tits" 23
"trending" 23
"unveils" 23
"whatever" 23
"witnessthetour" 23
"youkaty" 23
"achieve" 22
"along" 22
"answer" 22
"bikes" 22
"bish" 22
"blog" 22
"gays" 22
"gotten" 22
"james" 22
"kinda" 22
"kiss" 22
"known" 22
"mark" 22
"matter" 22
"meeting" 22
"minniemouse" 22
"ones" 22
"ora" 22
"overthetop" 22
"pray" 22
"room" 22
"san" 22
"short" 22
"shot" 22
"side" 22
"smulesingkaraoke" 22
"stuns" 22
"summer" 22
"surgerythe" 22
"taste" 22
"tiger" 22
"totally" 22
"virginia" 22
"wrote" 22
"arenalondonjun" 21
"attention" 21
"cavalier" 21
"city" 21
"clinton" 21
"cute" 21
"fish" 21
"flesh" 21
"flyboarding" 21
"girlkaty" 21
"gotta" 21
"history" 21
"jackson" 21
"katheryn" 21
"lead" 21
"learn" 21
"lesbian" 21
"mine" 21
"mood" 21
"nice" 21
"office" 21
"opening" 21
"performed" 21
"perryfeels" 21
"perryuniversity" 21
"poker" 21
"posts" 21
"pulling" 21
"reminds" 21
"rey" 21
"run" 21
"russell" 21
"second" 21
"shawn" 21
"smile" 21
"styles" 21
"tardy" 21
"total" 21
"waste" 21
"whenever" 21
"wild" 21
"actual" 20
"afraid" 20
"ahora" 20
"attack" 20
"award" 20
"bbc" 20
"become" 20
"car" 20
"catch" 20
"class" 20
"colorful" 20
"colors" 20
"couple" 20
"dare" 20
"despite" 20
"exactly" 20
"except" 20
"experts" 20
"falling" 20
"fifth" 20
"floor" 20
"front" 20
"fully" 20
"group" 20
"illuminati" 20
"inspired" 20
"january" 20
"leads" 20
"listened" 20
"luke" 20
"madonnas" 20
"meant" 20
"middle" 20
"opinion" 20
"pass" 20
"point" 20
"prince" 20
"sister" 20
"spotify" 20
"stcyr" 20
"steve" 20
"stolen" 20
